Wins: 861, Loses: 132, Loses on first: 0, Undecided: 7

True risk factors:
1.000 1.000 1.000 1.000 0.048 0.169 0.653 1.000 1.000 1.000
1.000 1.000 1.000 1.000 0.129 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 0.250 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 0.153 1.000 1.000 1.000 1.000 1.000
1.000 0.000 0.081 0.161 0.355 1.000 1.000 1.000 1.000 1.000
1.000 0.081 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 0.202 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 0.637 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.597 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.597 0.113 1.000
Torch risk factors:
0.499 0.414 0.366 0.381 0.521 0.002 0.001 0.260 0.503 0.900
0.637 0.007 0.412 0.000 0.062 0.000 0.001 0.001 0.627 0.543
0.051 0.006 0.024 0.235 0.000 0.164 0.003 0.157 0.114 0.056
0.045 0.003 0.050 0.001 0.000 0.005 0.000 0.012 0.047 0.749
0.111 0.030 0.744 0.001 0.002 0.171 0.028 0.010 0.281 0.729
0.252 0.139 0.000 0.014 0.011 0.261 0.005 0.732 0.495 0.327
0.224 0.041 0.014 0.002 0.507 0.048 0.033 0.886 0.908 0.897
0.082 0.263 0.272 0.012 0.230 0.914 0.658 0.618 0.645 0.689
0.051 0.497 0.799 0.242 0.450 0.099 0.327 0.516 0.425 0.820
0.920 0.316 0.858 0.414 0.080 0.086 0.990 0.571 0.450 0.372

True risk factors:
0.591 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.114 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.591 0.250
1.000 1.000 1.000 1.000 1.000 1.000 0.750 0.636 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 0.091 0.295 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 0.273 0.545 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
0.000 0.091 0.045 0.045 0.045 0.091 0.545 1.000 1.000 1.000
Torch risk factors:
0.420 0.270 0.391 0.448 0.445 0.045 0.143 0.423 0.578 0.568
0.457 0.288 0.470 0.067 0.264 0.113 0.142 0.136 0.393 0.408
0.414 0.178 0.174 0.146 0.101 0.237 0.150 0.361 0.230 0.283
0.226 0.281 0.177 0.072 0.048 0.066 0.052 0.108 0.172 0.614
0.450 0.371 0.493 0.116 0.152 0.228 0.104 0.171 0.155 0.394
0.499 0.166 0.044 0.129 0.134 0.117 0.137 0.612 0.387 0.187
0.420 0.346 0.218 0.103 0.305 0.178 0.298 0.337 0.603 0.583
0.352 0.216 0.323 0.082 0.169 0.369 0.363 0.431 0.498 0.519
0.206 0.292 0.455 0.373 0.265 0.343 0.559 0.457 0.494 0.511
0.463 0.333 0.579 0.359 0.448 0.357 0.691 0.713 0.389 0.596

True risk factors:
1.000 1.000 1.000 0.008 0.062 0.144 0.429 1.000 1.000 1.000
1.000 0.000 0.082 0.285 1.000 1.000 1.000 1.000 1.000 1.000
1.000 0.054 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 0.120 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 0.087 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 0.098 0.315 0.641 1.000 1.000 1.000 1.000 0.565 1.000
1.000 0.114 1.000 1.000 1.000 1.000 1.000 1.000 0.293 1.000
0.049 0.359 1.000 1.000 1.000 1.000 1.000 1.000 0.185 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.158 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.103 1.000
Torch risk factors:
0.369 0.357 0.271 0.321 0.326 0.051 0.103 0.245 0.574 0.664
0.322 0.097 0.314 0.012 0.200 0.022 0.083 0.059 0.411 0.527
0.089 0.032 0.125 0.119 0.022 0.098 0.044 0.271 0.168 0.319
0.213 0.033 0.038 0.054 0.022 0.029 0.024 0.090 0.193 0.586
0.333 0.049 0.236 0.097 0.063 0.305 0.119 0.097 0.227 0.294
0.276 0.148 0.003 0.077 0.076 0.069 0.114 0.465 0.331 0.284
0.188 0.177 0.053 0.020 0.353 0.248 0.255 0.343 0.575 0.523
0.221 0.284 0.282 0.058 0.162 0.617 0.453 0.573 0.455 0.218
0.282 0.256 0.451 0.301 0.420 0.216 0.537 0.465 0.266 0.634
0.645 0.341 0.515 0.150 0.408 0.320 0.629 0.483 0.370 0.596

True risk factors:
1.000 0.132 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 0.201 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 0.139 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 0.069 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 0.000 0.156 0.781 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 0.080 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 0.219 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 0.306 1.000 1.000 1.000 1.000 0.722 0.410 0.201
1.000 1.000 0.340 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 0.201 1.000 1.000 1.000 0.479 0.063 1.000 1.000
Torch risk factors:
0.327 0.544 0.301 0.398 0.416 0.049 0.192 0.183 0.685 0.491
0.345 0.083 0.411 0.014 0.336 0.023 0.074 0.060 0.652 0.568
0.083 0.030 0.210 0.096 0.021 0.292 0.049 0.246 0.320 0.229
0.226 0.021 0.042 0.122 0.033 0.024 0.012 0.157 0.187 0.512
0.272 0.032 0.390 0.154 0.065 0.466 0.105 0.124 0.317 0.561
0.153 0.211 0.002 0.052 0.129 0.135 0.091 0.548 0.460 0.324
